,Latitude,Longitude,Distance
553,36.81037491,-121.7992116,1.107206363
554,36.81038261,-121.7992319,1.10920271
555,36.81039031,-121.7992522,1.111199056
556,36.81039801,-121.7992724,1.113195403
557,36.81040571,-121.7992927,1.11519175
558,36.81041341,-121.7993129,1.117188097
559,36.81042111,-121.7993332,1.119184444
560,36.81042881,-121.7993535,1.121180791
561,36.81043651,-121.7993737,1.123177138
562,36.8104442,-121.799394,1.125173485
563,36.8104519,-121.7994142,1.127169831
564,36.8104596,-121.7994345,1.129166178
565,36.8104673,-121.7994547,1.131162525
566,36.810475,-121.799475,1.133158872
567,36.8104827,-121.7994953,1.135155219
568,36.8104904,-121.7995155,1.137151566
569,36.8104981,-121.7995358,1.139147913
570,36.8105058,-121.799556,1.14114426
571,36.81051349,-121.7995763,1.143140606
572,36.81052119,-121.7995965,1.145136953
573,36.81052889,-121.7996168,1.1471333
574,36.81053659,-121.7996371,1.149129647
575,36.81054429,-121.7996573,1.151125994
576,36.81055199,-121.7996776,1.153122341
577,36.81055969,-121.7996978,1.155118688
578,36.81056739,-121.7997181,1.157115035
579,36.81057509,-121.7997384,1.159111381
580,36.81058278,-121.7997586,1.161107728
581,36.81059048,-121.7997789,1.163104075
582,36.81059818,-121.7997991,1.165100422
583,36.81060588,-121.7998194,1.167096769
584,36.81061358,-121.7998396,1.169093116
585,36.81062128,-121.7998599,1.171089463
586,36.81062898,-121.7998802,1.17308581
587,36.81063668,-121.7999004,1.175082156
588,36.81064438,-121.7999207,1.177078503
589,36.81065208,-121.7999409,1.17907485
590,36.81065977,-121.7999612,1.181071197
591,36.81066747,-121.7999815,1.183067544
592,36.81067517,-121.8000017,1.185063891
593,36.81068287,-121.800022,1.187060238
594,36.81069057,-121.8000422,1.189056585
595,36.81069827,-121.8000625,1.191052931
596,36.81070597,-121.8000827,1.193049278
597,36.81071367,-121.800103,1.195045625
598,36.81072137,-121.8001233,1.197041972
599,36.81072906,-121.8001435,1.199038319
600,36.81073676,-121.8001638,1.201034666
601,36.81074446,-121.800184,1.203031013
602,36.81075216,-121.8002043,1.20502736
603,36.81075986,-121.8002245,1.207023706
604,36.81076756,-121.8002448,1.209020053
605,36.81077526,-121.8002651,1.2110164
606,36.81078296,-121.8002853,1.213012747
607,36.81079066,-121.8003056,1.215009094
608,36.81079835,-121.8003258,1.217005441
609,36.81080605,-121.8003461,1.219001788
