#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
2018 01 06 08 50 343  5.1  6.1  2.68 12.12  9.10 289 1022.1  12.7  13.8 999.0 99.0 99.00
2018 01 06 09 50 328  5.1  6.6  2.95 12.90  9.45 291 1022.2  12.9  13.8 999.0 99.0 99.00
2018 01 06 10 50 335  4.7  5.9  2.90 12.12  9.36 291 1022.2  13.0  13.8 999.0 99.0 99.00
2018 01 06 11 50 318  4.5  5.8  3.19 10.81  9.37 284 1021.6  13.1  13.8 999.0 99.0 99.00
2018 01 06 12 50 313  5.3  6.9  3.04 10.81  9.24 286 1021.8  13.2  13.8 999.0 99.0 99.00
2018 01 06 13 50 326  7.2  8.7  2.89 12.12  9.02 292 1022.0  13.1  13.8 999.0 99.0 99.00
2018 01 06 14 50 337  7.0  8.2  2.65 10.81  8.47 280 1022.5  13.2  13.8 999.0 99.0 99.00
2018 01 06 15 50 344  7.2  8.8  2.87 11.43  8.58 291 1022.2  13.1  13.8 999.0 99.0 99.00
2018 01 06 16 50 328  5.6  6.9  2.64 10.81  8.23 291 1022.5  13.1  13.8 999.0 99.0 99.00
2018 01 06 17 50 334  7.5  8.9  2.65 10.81  8.28 289 1022.9  13.2  13.8 999.0 99.0 99.00
2018 01 06 18 50 341  6.7  8.2  2.46 12.90  8.22 294 1023.6  13.1  13.9 999.0 99.0 99.00
2018 01 06 19 50 338  8.8 11.1  2.45 12.90  7.52 289 1022.9  13.2  13.9 999.0 99.0 99.00
2018 01 06 20 50 343  8.6 10.0  2.71 10.81  7.82 297 1021.9  13.1  13.9 999.0 99.0 99.00
2018 01 06 21 50 336  8.2  9.8  2.61 10.00  7.54 297 1021.2  13.2  13.9 999.0 99.0 99.00
2018 01 06 22 50 335  7.7  9.1  2.68 12.12  7.92 290 1021.1  13.2  14.0 999.0 99.0 99.00
2018 01 06 23 50 329  7.3  8.8  2.56 12.90  7.85 293 1021.3  13.2  13.9 999.0 99.0 99.00
2018 01 07 00 50 326  5.9  7.0  2.47 12.12  7.92 291 1022.0  13.1  13.9 999.0 99.0 99.00
2018 01 07 01 50 338  7.2  8.4  2.22 10.00  7.60 298 1021.6  12.9  13.9 999.0 99.0 99.00
2018 01 07 02 50 338  7.8  9.2  2.06  9.09  7.11 309 1021.2  12.8  13.8 999.0 99.0 99.00
2018 01 07 03 50 336  7.7  9.0  2.26 12.12  7.05 293 1021.6  12.7  13.8 999.0 99.0 99.00
2018 01 07 04 50 337  7.7  9.0  2.21 12.90  6.99 300 1021.3  12.6  13.8 999.0 99.0 99.00
2018 01 07 05 50 348  8.5  9.7  2.26 12.90  6.83 291 1021.2  12.5  13.8 999.0 99.0 99.00
2018 01 07 06 50 338  7.3  8.7  2.30 12.90  7.04 295 1021.3  12.5  13.8 999.0 99.0 99.00
2018 01 07 07 50 343  7.1  8.5  2.17 12.90  7.08 297 1020.6  12.5  13.8 999.0 99.0 99.00
2018 01 07 08 50 317  6.6  8.1  2.52 12.12  7.72 296 1021.0  12.6  13.8 999.0 99.0 99.00
2018 01 07 09 50 324  6.2  7.2  2.39 12.90  7.85 292 1020.7  12.6  13.8 999.0 99.0 99.00
